0 7.80044e+751
1 -2.25994e+753
2 1.50121e+753
3 -1.34255e+752
4 7.96299e+751
5 -1.14227e+751
6 5.70459e+750
7 -4.15198e+750
8 4.48322e+750
9 -8.13394e+752
10 1.35549e+753
11 -2.20707e+752
12 4.02674e+751
13 -1.93072e+751
14 1.34428e+751
15 -1.02013e+751
16 1.20594e+752
17 -1.24845e+753
18 1.53789e+753
19 -1.13019e+752
20 4.34694e+751
21 -2.67672e+751
22 1.67828e+751
23 -4.75816e+751
24 1.71585e+752
25 -1.63317e+753
26 1.15147e+752
27 -4.431e+751
28 6.40311e+751
29 -5.95767e+751
30 4.30867e+751
31 -1.30932e+752
32 1.63481e+753
33 -1.13286e+752
34 4.03343e+751
35 -2.12627e+751
36 1.27293e+751
37 -4.37783e+751
38 9.78559e+751
39 -1.4802e+753
40 2.11439e+752
41 -4.46568e+751
42 1.62137e+751
43 -1.27074e+751
44 6.98572e+751
45 -7.25158e+751
46 2.47945e+753
47 -1.93935e+752
48 1.97585e+752
