0 22.8924
1 129.452
2 22.6099
3 5.26579
4 0.941259
5 1.07359
6 0.930458
7 1.45177
8 1.40754
9 3.29405
10 3.67044
11 1.33843
12 0.766986
13 0.724979
14 1.04662
15 1.42973
16 1.62889
17 1.44595
18 0.891177
19 0.47076
20 0.462432
21 0.728445
22 0.931733
23 0.38345
24 0.5823
25 0.469376
26 0.280088
27 0.395943
28 0.65564
29 1.04545
30 1.91528
31 1.03327
32 0.484679
33 0.392895
34 0.641593
35 1.06965
36 0.821574
37 -0.0914863
38 0.653694
39 0.872062
40 0.496434
41 1.19775
42 2.07224
43 4.8564
44 13.3891
45 1.29345
46 1.44786
47 0.364154
48 1.95487
