0 0.176841
1 1
2 0.174659
3 0.0406777
4 0.00727112
5 0.00829333
6 0.00718768
7 0.0112148
8 0.0108731
9 0.0254461
10 0.0283538
11 0.0103393
12 0.00592488
13 0.00560038
14 0.00808504
15 0.0110445
16 0.012583
17 0.0111698
18 0.00688425
19 0.00363657
20 0.00357224
21 0.00562716
22 0.00719753
23 0.00296211
24 0.0044982
25 0.00362588
26 0.00216365
27 0.00305861
28 0.00506475
29 0.00807599
30 0.0147953
31 0.00798188
32 0.00374409
33 0.00303507
34 0.00495624
35 0.00826296
36 0.00634657
37 -0.000706722
38 0.00504971
39 0.00673658
40 0.0038349
41 0.00925251
42 0.0160078
43 0.0375152
44 0.103429
45 0.00999179
46 0.0111846
47 0.00281305
48 0.0151012
