0 -1.76675e+729
1 6.33574e+729
2 5.30124e+729
3 2.15214e+729
4 2.46564e+729
5 -1.28976e+730
6 -7.21882e+729
7 -2.29763e+730
8 -3.36414e+730
9 9.35221e+729
10 1.77739e+730
11 -2.98893e+729
12 4.9315e+729
13 5.78459e+729
14 3.20942e+730
15 3.63453e+730
16 1.01486e+729
17 -2.87019e+730
18 -1.56123e+731
19 -6.19122e+730
20 -2.51499e+730
21 -1.64065e+731
22 -1.43092e+731
23 1.46555e+730
24 -4.12388e+730
25 -4.9397e+731
26 -1.84466e+731
27 -1.2832e+731
28 -4.25524e+732
29 -7.80233e+732
30 1.18614e+730
31 -6.29797e+730
32 -1.05074e+732
33 -2.01413e+731
34 -3.70001e+730
35 -9.78344e+731
36 -8.31013e+731
37 4.33957e+730
38 -1.10461e+731
39 -1.06087e+732
40 5.56772e+732
41 1.52296e+732
42 3.27825e+730
43 2.44576e+731
44 4.98446e+730
45 -7.82633e+730
46 -8.65133e+731
47 1.04091e+733
48 3.52009e+732
