-3.0000000000 4.0000000000
-2.9698492462 3.8803060529
-2.9396984925 3.7624302417
-2.9095477387 3.6463725663
-2.8793969849 3.5321330269
-2.8492462312 3.4197116234
-2.8190954774 3.3091083558
-2.7889447236 3.2003232242
-2.7587939698 3.0933562284
-2.7286432161 2.9882073685
-2.6984924623 2.8848766445
-2.6683417085 2.7833640565
-2.6381909548 2.6836696043
-2.6080402010 2.5857932880
-2.5778894472 2.4897351077
-2.5477386935 2.3954950633
-2.5175879397 2.3030731547
-2.4874371859 2.2124693821
-2.4572864322 2.1236837454
-2.4271356784 2.0367162445
-2.3969849246 1.9515668796
-2.3668341709 1.8682356506
-2.3366834171 1.7867225575
-2.3065326633 1.7070276003
-2.2763819095 1.6291507790
-2.2462311558 1.5530920936
-2.2160804020 1.4788515442
-2.1859296482 1.4064291306
-2.1557788945 1.3358248529
-2.1256281407 1.2670387111
-2.0954773869 1.2000707053
-2.0653266332 1.1349208353
-2.0351758794 1.0715891013
-2.0050251256 1.0100755031
-1.9748743719 0.9503800409
-1.9447236181 0.8925027146
-1.9145728643 0.8364435242
-1.8844221106 0.7822024696
-1.8542713568 0.7297795510
-1.8241206030 0.6791747683
-1.7939698492 0.6303881215
-1.7638190955 0.5834196106
-1.7336683417 0.5382692356
-1.7035175879 0.4949369965
-1.6733668342 0.4534228934
-1.6432160804 0.4137269261
-1.6130653266 0.3758490947
-1.5829145729 0.3397893993
-1.5527638191 0.3055478397
-1.5226130653 0.2731244161
-1.4924623116 0.2425191283
-1.4623115578 0.2137319765
-1.4321608040 0.1867629605
-1.4020100503 0.1616120805
-1.3718592965 0.1382793364
-1.3417085427 0.1167647282
-1.3115577889 0.0970682559
-1.2814070352 0.0791899194
-1.2512562814 0.0631297189
-1.2211055276 0.0488876544
-1.1909547739 0.0364637257
-1.1608040201 0.0258579329
-1.1306532663 0.0170702760
-1.1005025126 0.0101007550
-1.0703517588 0.0049493700
-1.0402010050 0.0016161208
-1.0100502513 0.0001010076
-0.9798994975 0.0004040302
-0.9497487437 0.0025251888
-0.9195979899 0.0064644832
-0.8894472362 0.0122219136
-0.8592964824 0.0197974799
-0.8291457286 0.0291911820
-0.7989949749 0.0404030201
-0.7688442211 0.0534329941
-0.7386934673 0.0682811040
-0.7085427136 0.0849473498
-0.6783919598 0.1034317315
-0.6482412060 0.1237342491
-0.6180904523 0.1458549027
-0.5879396985 0.1697936921
-0.5577889447 0.1955506174
-0.5276381910 0.2231256786
-0.4974874372 0.2525188758
-0.4673366834 0.2837302088
-0.4371859296 0.3167596778
-0.4070351759 0.3516072826
-0.3768844221 0.3882730234
-0.3467336683 0.4267569001
-0.3165829146 0.4670589127
-0.2864321608 0.5091790611
-0.2562814070 0.5531173455
-0.2261306533 0.5988737658
-0.1959798995 0.6464483220
-0.1658291457 0.6958410141
-0.1356783920 0.7470518421
-0.1055276382 0.8000808060
-0.0753768844 0.8549279059
-0.0452261307 0.9115931416
-0.0150753769 0.9700765132
0.0150753769 1.0303780208
0.0452261307 1.0924976642
0.0753768844 1.1564354435
0.1055276382 1.2221913588
0.1356783920 1.2897654100
0.1658291457 1.3591575970
0.1959798995 1.4303679200
0.2261306533 1.5033963789
0.2562814070 1.5782429737
0.2864321608 1.6549077044
0.3165829146 1.7333905709
0.3467336683 1.8136915734
0.3768844221 1.8958107119
0.4070351759 1.9797479862
0.4371859296 2.0655033964
0.4673366834 2.1530769425
0.4974874372 2.2424686245
0.5276381910 2.3336784425
0.5577889447 2.4267063963
0.5879396985 2.5215524860
0.6180904523 2.6182167117
0.6482412060 2.7166990733
0.6783919598 2.8169995707
0.7085427136 2.9191182041
0.7386934673 3.0230549734
0.7688442211 3.1288098785
0.7989949749 3.2363829196
0.8291457286 3.3457740966
0.8592964824 3.4569834095
0.8894472362 3.5700108583
0.9195979899 3.6848564430
0.9497487437 3.8015201636
0.9798994975 3.9200020202
1.0100502513 4.0403020126
1.0402010050 4.1624201409
1.0703517588 4.2863564051
1.1005025126 4.4121108053
1.1306532663 4.5396833413
1.1608040201 4.6690740133
1.1909547739 4.8002828211
1.2211055276 4.9333097649
1.2512562814 5.0681548446
1.2814070352 5.2048180601
1.3115577889 5.3432994116
1.3417085427 5.4835988990
1.3718592965 5.6257165223
1.4020100503 5.7696522815
1.4321608040 5.9154061766
1.4623115578 6.0629782076
